name,age,nationality,club,overall,potential,valueEuros,weakFoot,skillMoves,position,pace,shooting,passing,dribbling,defending,physical
P. Aubameyang,30,Gabon,Arsenal,88,88,57000000,4,4,LM,94,85,75,80,37,69
S. Mané,27,Senegal,Liverpool,88,88,62000000,4,4,LW,94,83,77,89,44,74
A. Laporte,25,France,Manchester City,87,90,56500000,3,2,LCB,64,50,71,68,88,82
Bernardo Silva,24,Portugal,Manchester City,87,90,64000000,3,4,RW,81,76,83,92,51,67
Casemiro,27,Brazil,Real Madrid,87,89,53500000,3,2,CDM,62,72,75,72,85,89
H. Son,26,Korea Republic,Tottenham Hotspur,87,88,60000000,5,4,LM,88,86,80,87,42,68
Fernandinho,34,Brazil,Manchester City,87,87,19500000,4,3,CDM,66,74,79,78,84,79
Thiago Silva,34,Brazil,Paris Saint-Germain,87,87,18500000,3,2,LCB,62,54,72,72,87,78
K. Benzema,31,France,Real Madrid,87,87,45000000,4,4,CF,76,82,80,86,39,77
J. Vertonghen,32,Belgium,Tottenham Hotspur,87,87,32500000,3,3,LCB,63,63,74,72,87,79
D. Mertens,32,Belgium,Napoli,87,87,40000000,4,4,SUB,88,83,80,91,35,53
M. Hummels,30,Germany,Borussia Dortmund,87,87,41000000,3,3,LCB,51,58,76,72,89,76
T. Alderweireld,30,Belgium,Tottenham Hotspur,87,87,41000000,3,2,RCB,64,55,72,66,88,79
Jordi Alba,30,Spain,FC Barcelona,87,87,40000000,3,3,LB,90,69,81,83,79,73
Thiago,28,Spain,FC Bayern München,87,87,50000000,3,5,CDM,69,74,85,90,69,63
L. Insigne,28,Italy,Napoli,87,87,52000000,4,4,LS,89,79,85,91,35,47
L. Sané,23,Germany,Manchester City,86,92,61000000,3,4,SUB,95,81,79,86,38,70
Marquinhos,25,Brazil,Paris Saint-Germain,86,90,51500000,3,3,RCB,74,41,73,70,86,77
M. Škriniar,24,Slovakia,Inter,86,90,52000000,4,2,LCB,69,41,59,66,87,82
M. Verratti,26,Italy,Paris Saint-Germain,86,89,54500000,4,4,RCM,65,60,84,90,79,66
S. Umtiti,25,France,FC Barcelona,86,89,50000000,3,2,SUB,69,63,69,69,86,82
J. Kimmich,24,Germany,FC Bayern München,86,88,48000000,4,3,RB,72,69,86,84,79,78
Isco,27,Spain,Real Madrid,86,87,51000000,3,4,SUB,71,77,83,91,59,60
Roberto Firmino,27,Brazil,Liverpool,86,87,52000000,4,4,CF,77,82,80,87,61,78
I. Rakitić,31,Croatia,FC Barcelona,86,86,38000000,4,3,RCM,62,81,86,81,74,70
M. Pjanić,29,Bosnia Herzegovina,Juventus,86,86,42500000,4,3,CDM,68,68,87,85,75,67
A. Di María,31,Argentina,Paris Saint-Germain,86,86,39000000,2,5,LW,84,79,84,87,48,68
L. Bonucci,32,Italy,Juventus,86,86,28500000,4,2,RCB,58,58,69,70,87,79
Coutinho,27,Brazil,FC Bayern München,86,86,46500000,4,5,LCM,79,80,84,90,52,64
Parejo,30,Spain,Valencia CF,86,86,41000000,4,3,RCM,41,80,88,79,70,69
T. Müller,29,Germany,FC Bayern München,86,86,43500000,4,3,SUB,72,83,79,78,55,71
C. Immobile,29,Italy,Lazio,86,86,44500000,4,3,ST,80,85,63,81,39,76
A. Lacazette,28,France,Arsenal,86,86,46000000,4,4,ST,82,85,75,86,40,74
M. de Ligt,19,Netherlands,Juventus,85,93,50000000,4,2,SUB,67,58,66,68,83,84
F. de Jong,22,Netherlands,FC Barcelona,85,91,52000000,3,4,LCM,79,64,84,87,76,76
R. Varane,26,France,Real Madrid,85,90,45000000,3,2,RCB,83,45,62,63,85,80
N. Süle,23,Germany,FC Bayern München,85,90,46500000,3,2,RCB,72,42,55,50,86,82
S. Milinković-Savić,24,Serbia,Lazio,85,90,50500000,4,4,RDM,67,79,80,83,77,84
Rodri,23,Spain,Manchester City,85,90,47000000,4,3,SUB,67,68,77,77,82,80
Saúl,24,Spain,Atlético Madrid,85,89,49500000,4,3,LCM,70,78,79,81,78,78
Fabinho,25,Brazil,Liverpool,85,89,45000000,2,3,CDM,68,69,78,77,85,83
A. Robertson,25,Scotland,Liverpool,85,89,43500000,2,3,LB,85,62,77,79,80,75
J. Giménez,24,Uruguay,Atlético Madrid,85,89,45000000,3,2,RCB,69,45,52,54,86,82
C. Lenglet,24,France,FC Barcelona,85,89,45000000,4,2,LCB,75,45,68,65,86,80
Bruno Fernandes,24,Portugal,Sporting CP,85,88,49000000,4,4,RCM,77,83,87,85,65,74
R. Lukaku,26,Belgium,Inter,85,86,46000000,4,3,LS,75,82,73,72,35,84
K. Manolas,28,Greece,Napoli,85,86,37500000,2,2,RCB,82,25,42,60,86,81
D. Alaba,27,Austria,FC Bayern München,85,86,38000000,4,3,LB,83,73,81,80,80,76
M. Icardi,26,Argentina,Inter,85,86,46000000,4,3,RES,75,84,61,77,36,69
Carvajal,27,Spain,Real Madrid,85,86,38000000,3,3,RB,81,47,78,81,82,80
H. Ziyech,26,Morocco,Ajax,85,86,45000000,2,4,RAM,80,75,86,83,50,66
Z. Ibrahimović,37,Sweden,LA Galaxy,85,85,14000000,4,5,ST,56,88,77,77,34,78
A. Gómez,31,Argentina,Atalanta,85,85,34000000,4,4,CAM,89,78,81,86,39,55
G. Higuaín,31,Argentina,Juventus,85,85,34500000,4,3,SUB,63,85,71,80,31,71
B. Matuidi,32,France,Juventus,85,85,25000000,2,2,SUB,75,66,76,78,83,81
G. Bale,29,Wales,Real Madrid,85,85,37500000,3,4,SUB,91,87,82,82,58,76
Marcelo,31,Brazil,Real Madrid,85,85,28000000,4,5,LB,81,74,83,89,77,79
A. Witsel,30,Belgium,Borussia Dortmund,85,85,31500000,4,4,LDM,73,74,80,79,83,81
Alex Sandro,28,Brazil,Juventus,85,85,33000000,3,3,LB,83,65,77,80,82,82
Iago Aspas,31,Spain,RC Celta,85,85,34500000,3,3,RS,78,84,77,85,35,64
Koke,27,Spain,Atlético Madrid,85,85,40500000,4,3,RM,68,75,86,82,74,79
J. Rodríguez,27,Colombia,Real Madrid,85,85,40500000,2,4,SUB,55,86,87,86,50,63
Allan,28,Brazil,Napoli,85,85,38000000,3,4,RCM,75,71,78,84,85,84
J. Sancho,19,England,Borussia Dortmund,84,92,44500000,4,5,RM,88,72,77,90,36,60
K. Havertz,20,Germany,Bayer 04 Leverkusen,84,92,46000000,4,4,RF,84,78,79,84,44,65
O. Dembélé,22,France,FC Barcelona,84,90,42500000,5,5,SUB,93,79,80,87,36,57
João Cancelo,25,Portugal,Manchester City,84,89,36500000,3,4,SUB,90,65,80,84,78,71
D. Alli,23,England,Tottenham Hotspur,84,89,41500000,3,4,CAM,72,81,79,82,71,79
L. Hernández,23,France,FC Bayern München,84,89,37500000,3,2,LCB,81,54,70,71,83,82
Arthur,22,Brazil,FC Barcelona,84,89,41000000,3,4,SUB,69,71,81,86,73,70
M. Depay,25,Netherlands,Olympique Lyonnais,84,88,40500000,3,5,LW,87,80,81,84,32,78
L. Goretzka,24,Germany,FC Bayern München,84,88,40000000,4,3,SUB,81,77,80,81,75,79
J. Brandt,23,Germany,Borussia Dortmund,84,88,40500000,4,4,SUB,82,78,81,85,40,68
K. Coman,23,France,FC Bayern München,84,88,40500000,3,4,LW,92,76,77,87,29,60
S. Gnabry,23,Germany,FC Bayern München,84,87,39500000,4,4,RW,90,82,75,86,43,69
N. Fekir,25,France,Real Betis,84,87,39000000,3,4,RM,78,82,81,88,33,77
Luis Alberto,26,Spain,Lazio,84,86,37500000,3,4,CM,71,76,84,85,49,59
Alex Telles,26,Brazil,FC Porto,84,86,33000000,2,3,LB,85,72,84,81,80,76
S. de Vrij,27,Netherlands,Inter,84,85,31500000,4,2,CB,66,41,62,68,86,74
Felipe Anderson,26,Brazil,West Ham United,84,85,36500000,4,4,RM,89,77,79,89,55,61
Pepe,36,Portugal,FC Porto,84,84,6500000,3,2,RCB,67,51,57,60,85,85
João Moutinho,32,Portugal,Wolverhampton Wanderers,84,84,23500000,4,3,LCM,56,75,85,82,71,67
M. Hamšík,31,Slovakia,Dalian YiFang FC,84,84,26500000,5,3,CAM,69,77,83,83,72,69
Sokratis,31,Greece,Arsenal,84,84,23000000,2,2,RCB,72,51,52,60,84,83
Lucas Leiva,32,Brazil,Lazio,84,84,20500000,3,3,LDM,62,66,76,78,83,73
M. Özil,30,Germany,Arsenal,84,84,29500000,2,4,CAM,70,72,86,84,24,56
Javi Martínez,30,Spain,FC Bayern München,84,84,25500000,3,2,SUB,48,55,69,63,86,83
E. Džeko,33,Bosnia Herzegovina,Roma,84,84,19500000,5,2,ST,60,84,71,75,46,73
G. Wijnaldum,28,Netherlands,Liverpool,84,84,31000000,3,4,LCM,77,73,78,84,76,78
I. Perišić,30,Croatia,FC Bayern München,84,84,29500000,5,4,SUB,84,80,78,82,62,77
M. Mandžukić,33,Croatia,Juventus,84,84,19500000,3,3,ST,68,80,71,75,65,86
A. Vidal,32,Chile,FC Barcelona,84,84,23500000,4,3,SUB,67,79,80,78,85,86
J. Boateng,30,Germany,FC Bayern München,84,84,25000000,4,2,SUB,66,50,72,65,84,82
Azpilicueta,29,Spain,Chelsea,84,84,25500000,3,2,RB,70,55,77,73,85,76
José Callejón,32,Spain,Napoli,84,84,24000000,3,3,RM,89,78,75,83,47,64
I. Gündoğan,28,Germany,Manchester City,84,84,31000000,4,4,SUB,66,74,84,84,72,71
Paulinho,30,Brazil,Guangzhou Evergrande Taobao FC,84,84,29000000,3,4,LCM,72,81,77,80,78,85
K. Walker,29,England,Manchester City,84,84,25500000,2,2,RB,91,63,76,77,81,81
Canales,28,Spain,Real Betis,84,84,31500000,3,4,RCM,78,79,83,81,51,66
Douglas Costa,28,Brazil,Juventus,84,84,31500000,3,5,SUB,94,73,79,91,43,61
Pizzi,29,Portugal,SL Benfica,84,84,30500000,4,3,RM,77,77,84,81,63,68
D. Tadić,30,Serbia,Ajax,84,84,29500000,3,4,ST,68,80,84,85,41,71
J. Iličić,31,Slovenia,Atalanta,84,84,28000000,4,4,RS,70,84,84,85,43,67
R. Mahrez,28,Algeria,Manchester City,84,84,31500000,4,5,SUB,84,78,79,89,38,59
E. Višća,29,Bosnia Herzegovina,Medipol Başakşehir FK,84,84,30500000,4,4,RM,88,79,79,83,47,64
Felipe,30,Brazil,Atlético Madrid,84,84,25000000,3,2,LCB,64,41,57,60,84,87
Fabián,23,Spain,Napoli,83,90,36000000,4,4,LCM,65,78,78,83,74,69
A. Romagnoli,24,Italy,Milan,83,89,32000000,3,2,LCB,63,40,55,66,85,79
G. Lo Celso,23,Argentina,Tottenham Hotspur,83,89,35000000,3,4,SUB,77,78,82,85,65,72
T. Alexander-Arnold,20,England,Liverpool,83,89,32000000,4,3,RB,80,62,82,78,78,70
L. Jović,21,Serbia,Real Madrid,83,89,36500000,5,3,SUB,77,82,68,81,29,74
A. Milik,25,Poland,Napoli,83,88,35000000,3,4,RS,69,85,64,76,39,74
A. Martial,23,France,Manchester United,83,88,34500000,3,4,ST,89,81,72,86,41,71
Anderson Talisca,25,Brazil,Guangzhou Evergrande Taobao FC,83,88,34500000,4,4,RW,77,82,80,81,57,72
J. Tah,23,Germany,Bayer 04 Leverkusen,83,88,31000000,4,2,RCB,71,27,59,57,83,81
C. Tolisso,24,France,FC Bayern München,83,88,34000000,3,3,RCM,69,77,79,78,76,79
Gonçalo Guedes,22,Portugal,Valencia CF,83,88,34500000,4,4,LM,90,79,76,84,36,70
N. Pépé,24,Ivory Coast,Arsenal,83,88,34500000,3,4,RM,91,81,75,85,33,67
M. Akanji,23,Switzerland,Borussia Dortmund,83,88,31000000,3,2,RCB,78,45,68,72,83,80
M. Rashford,21,England,Manchester United,83,88,35500000,3,5,LM,92,82,73,84,45,77
J. Stones,25,England,Manchester City,83,87,30000000,4,3,RCB,68,36,70,72,84,77
A. Rabiot,24,France,Juventus,83,87,33000000,3,3,LCM,73,74,79,80,77,80
Grimaldo,23,Spain,SL Benfica,83,87,29500000,2,3,LB,85,63,79,84,77,71
T. Werner,23,Germany,RB Leipzig,83,87,34500000,4,3,LS,92,81,67,83,35,69
T. Lemar,23,France,Atlético Madrid,83,87,34000000,2,4,LM,83,76,82,85,59,67
D. Sánchez,23,Colombia,Tottenham Hotspur,83,87,30500000,3,2,SUB,74,45,57,66,83,81
Marco Asensio,23,Spain,Real Madrid,83,87,34000000,3,4,SUB,81,80,82,84,43,62
L. Digne,25,France,Everton,83,86,28500000,3,3,LB,78,69,79,79,80,76
J. Draxler,25,Germany,Paris Saint-Germain,83,86,32500000,5,4,SUB,77,79,81,86,55,63
Y. Carrasco,25,Belgium,Dalian YiFang FC,83,86,32500000,4,4,LM,90,80,75,87,39,64
Borja Iglesias,26,Spain,Real Betis,83,86,32500000,3,3,ST,67,83,63,76,35,82
W. Zaha,26,Ivory Coast,Crystal Palace,83,85,32000000,3,5,LS,91,76,72,88,27,74
Paco Alcácer,25,Spain,Borussia Dortmund,83,85,32000000,4,3,ST,79,84,68,80,36,63
Morata,26,Spain,Atlético Madrid,83,85,32000000,4,3,LS,81,79,71,80,31,72
S. Haller,25,France,West Ham United,83,85,32000000,2,3,ST,72,81,62,76,51,82
William Carvalho,27,Portugal,Real Betis,83,85,27500000,4,3,CDM,42,57,77,74,79,85
F. Bernardeschi,25,Italy,Juventus,83,85,31500000,3,5,SUB,81,75,81,87,60,66
D. Djené,27,Togo,Getafe CF,83,85,27000000,4,2,RCB,72,37,61,61,83,79
Oscar,27,Brazil,Shanghai SIPG FC,83,84,29500000,3,4,RCM,74,76,83,81,55,50
Bartra,28,Spain,Real Betis,83,84,25500000,3,3,RCB,73,61,73,72,82,74
Pablo Sarabia,27,Spain,Paris Saint-Germain,83,84,29500000,4,4,SUB,75,76,82,84,57,57
Lucas Moura,26,Brazil,Tottenham Hotspur,83,84,31000000,4,4,SUB,92,79,76,87,42,66
F. Thauvin,26,France,Olympique de Marseille,83,84,30500000,3,4,RW,83,80,81,83,41,69
Jorginho,27,Italy,Chelsea,83,84,29000000,3,3,CDM,55,63,84,81,70,73
V. Kompany,33,Belgium,RSC Anderlecht,83,83,12000000,3,2,LCB,50,53,65,64,84,79
Raúl Albiol,33,Spain,Villarreal CF,83,83,12000000,3,2,RCB,48,41,61,63,86,72
F. Quagliarella,36,Italy,Sampdoria,83,83,9500000,4,4,ST,69,89,75,80,30,65
Falcao,33,Colombia,AS Monaco,83,83,16500000,4,3,LS,65,82,69,77,43,72
Miranda,34,Brazil,Jiangsu Suning FC,83,83,9500000,3,2,RCB,64,49,60,68,84,74
C. Vela,30,Mexico,Los Angeles FC,83,83,24500000,2,4,RW,80,82,78,84,31,67
E. Garay,32,Argentina,Valencia CF,83,83,16500000,3,2,RCB,43,60,67,62,82,81
R. Nainggolan,31,Belgium,Cagliari,83,83,22500000,3,3,CAM,72,79,78,83,83,82
E. Banega,31,Argentina,Sevilla FC,83,83,19500000,4,4,RCM,61,73,84,82,77,70
Diego Costa,30,Spain,Atlético Madrid,83,83,25000000,4,2,SUB,73,82,64,75,49,85
S. Khedira,32,Germany,Juventus,83,83,19500000,4,2,RES,51,74,78,77,80,80
David Luiz,32,Brazil,Arsenal,83,83,16500000,3,3,LCB,61,65,74,70,82,77
M. Kruse,31,Germany,Fenerbahçe SK,83,83,23500000,4,4,CAM,66,83,83,83,45,70
J. Henderson,29,England,Liverpool,83,83,22000000,3,3,RCM,64,70,83,77,78,80
G. Sigurðsson,29,Iceland,Everton,83,83,25500000,4,3,CAM,56,81,84,80,57,69
A. Ramsey,28,Wales,Juventus,83,83,25500000,3,3,SUB,68,77,79,80,68,74
Illarramendi,29,Spain,Real Sociedad,83,83,22000000,3,3,RCM,54,71,80,79,80,71
D. Blind,29,Netherlands,Ajax,83,83,22000000,3,3,LDM,54,65,80,77,82,74
N. Otamendi,31,Argentina,Manchester City,83,83,19000000,3,2,SUB,56,57,63,59,83,78
J. Cuadrado,31,Colombia,Juventus,83,83,22500000,3,5,SUB,91,72,77,88,66,67
I. Gueye,29,Senegal,Paris Saint-Germain,83,83,22000000,3,3,SUB,73,59,70,78,85,78
K. Kampl,28,Slovenia,RB Leipzig,83,83,25500000,4,3,CM,76,67,80,86,63,62
Rodrigo,28,Spain,Valencia CF,83,83,27000000,3,4,LS,90,80,74,82,44,70
C. Aránguiz,30,Chile,Bayer 04 Leverkusen,83,83,24000000,4,3,LCM,63,72,82,81,74,73
W. Ben Yedder,28,France,AS Monaco,83,83,27000000,5,4,RS,84,82,77,85,39,61
F. Acerbi,31,Italy,Lazio,83,83,19000000,3,3,CB,56,50,61,63,86,82
Danilo Pereira,27,Portugal,FC Porto,83,83,24000000,3,3,LCM,65,63,72,74,82,85
A. Kramarić,28,Croatia,TSG 1899 Hoffenheim,83,83,27000000,4,4,LS,73,85,73,85,30,71
Louri Beretta,27,Brazil,Atlético Mineiro,83,83,27500000,3,4,ST,81,84,62,72,33,75
Josué Chiamulera,27,Brazil,Grêmio,83,83,23500000,3,2,RCB,80,43,56,64,85,77
Ronaldo Cabrais,27,Brazil,Grêmio,83,83,27000000,4,4,RM,87,77,83,84,35,72
Oyarzabal,22,Spain,Real Sociedad,82,89,31000000,3,3,LW,75,82,79,83,39,61
L. Bailey,21,Jamaica,Bayer 04 Leverkusen,82,88,30500000,4,4,LM,91,77,75,84,33,64
Gabriel Jesus,22,Brazil,Manchester City,82,88,31000000,3,4,SUB,85,80,72,86,39,71
M. Kovačić,25,Croatia,Chelsea,82,87,29000000,4,4,SUB,76,68,81,86,67,70
A. Belotti,25,Italy,Torino,82,87,30000000,5,3,ST,77,81,57,77,41,82
N. Keïta,24,Guinea,Liverpool,82,87,29000000,4,4,SUB,71,73,76,88,65,66
L. Torreira,23,Uruguay,Arsenal,82,87,27000000,3,3,RDM,75,67,77,80,81,75
Rúben Neves,22,Portugal,Wolverhampton Wanderers,82,87,29000000,4,3,CM,62,74,83,76,70,73
P. Kimpembe,23,France,Paris Saint-Germain,82,87,26500000,3,2,SUB,75,39,67,67,81,83
S. Bergwijn,21,Netherlands,PSV,82,87,30000000,2,4,CAM,89,75,76,85,40,73
Nélson Semedo,25,Portugal,FC Barcelona,82,87,26000000,3,4,RB,92,57,69,81,77,75
D. Rugani,24,Italy,Juventus,82,86,26000000,3,2,RES,64,39,55,64,85,74
A. Correa,24,Argentina,Atlético Madrid,82,86,29000000,4,4,SUB,83,80,75,86,54,65
Iñaki Williams,25,Spain,Athletic Club de Bilbao,82,86,29000000,2,4,RW,94,80,72,80,41,82
H. Lozano,23,Mexico,PSV,82,86,29000000,3,4,RW,93,76,73,83,41,66
Gelson Martins,24,Portugal,AS Monaco,82,86,29000000,3,5,RM,95,71,74,86,47,61
T. Partey,26,Ghana,Atlético Madrid,82,85,27000000,3,3,RCM,73,72,77,77,79,84
K. Demirbay,25,Germany,Bayer 04 Leverkusen,82,85,27500000,4,4,LF,67,74,82,84,64,70
J. Matip,27,Cameroon,Liverpool,82,84,23000000,2,2,SUB,61,46,68,67,83,76
Suso,25,Spain,Milan,82,84,27000000,3,4,RS,78,76,83,87,33,53
S. Savić,28,Montenegro,Atlético Madrid,82,84,22500000,3,2,SUB,55,35,54,56,84,72
A. Rüdiger,26,Germany,Chelsea,82,84,24000000,3,2,SUB,72,43,67,63,82,78
Ricardo Pereira,25,Portugal,Leicester City,82,84,23500000,4,3,RB,86,64,77,81,79,73
N. Tagliafico,26,Argentina,Ajax,82,84,23500000,2,3,LB,81,57,72,76,80,81
Muniain,26,Spain,Athletic Club de Bilbao,82,83,26000000,3,4,LW,80,72,77,87,51,58
M. Götze,27,Germany,Borussia Dortmund,82,83,26000000,4,4,SUB,71,78,85,86,56,70
T. Delaney,27,Denmark,Borussia Dortmund,82,83,23000000,4,3,SUB,77,73,74,75,83,82
Willian José,27,Brazil,Real Sociedad,82,83,26000000,4,4,ST,69,82,68,75,40,81
Sergi Roberto,27,Spain,FC Barcelona,82,83,22000000,3,4,SUB,78,63,81,78,77,73
N. Schulz,26,Germany,Borussia Dortmund,82,83,22500000,2,3,LB,90,52,76,80,74,76
K. Volland,26,Germany,Bayer 04 Leverkusen,82,83,26500000,4,3,ST,76,84,79,79,41,83
Nacho Fernández,29,Spain,Real Madrid,82,83,21000000,4,2,SUB,74,37,66,64,81,79
Gabriel Paulista,28,Brazil,Valencia CF,82,83,21500000,2,2,LCB,71,49,69,65,83,81
J. Roussillon,26,France,VfL Wolfsburg,82,83,22500000,3,3,LM,89,65,76,80,78,78
H. Maguire,26,England,Manchester United,82,83,23000000,3,2,LCB,50,53,64,69,81,84
T. Hazard,26,Belgium,Borussia Dortmund,82,83,26000000,4,4,LM,82,77,80,86,47,64
E. Forsberg,27,Sweden,RB Leipzig,82,83,25500000,4,4,LCM,70,71,81,83,33,62
F. Kostić,26,Serbia,Eintracht Frankfurt,82,83,26000000,2,3,LM,87,76,77,81,67,78
M. Politano,25,Italy,Inter,82,83,26500000,4,4,SUB,84,77,78,84,42,57
Rafa,26,Portugal,SL Benfica,82,83,26000000,3,4,LM,93,71,74,86,50,52
D. De Rossi,35,Italy,Boca Juniors,82,82,7000000,4,2,LCM,59,64,73,69,85,77
Aduriz,38,Spain,Athletic Club de Bilbao,82,82,8000000,3,3,ST,61,82,64,75,49,74
Jesús Navas,33,Spain,Sevilla FC,82,82,13500000,2,4,RB,87,69,77,83,69,53
Santi Cazorla,34,Spain,Villarreal CF,82,82,11000000,5,4,CAM,56,73,85,83,65,58
H. Herrera,29,Mexico,Atlético Madrid,82,82,21500000,4,3,SUB,72,75,75,76,78,81
L. Biglia,33,Argentina,Milan,82,82,11000000,4,3,CM,55,63,81,81,77,68
Juan Mata,31,Spain,Manchester United,82,82,19500000,3,4,SUB,62,74,83,83,36,47
O. Giroud,32,France,Chelsea,82,82,17500000,3,3,SUB,46,81,71,72,42,79
S. Kjær,30,Denmark,Sevilla FC,82,82,18000000,3,2,RCB,65,55,63,55,81,78
Willian,30,Brazil,Chelsea,82,82,21000000,4,4,SUB,85,78,80,85,49,60
V. Ćorluka,33,Croatia,Lokomotiv Moscow,82,82,10500000,3,3,LCB,58,49,65,67,81,82
M. Arnautović,30,Austria,Shanghai SIPG FC,82,82,21500000,4,4,ST,80,79,77,82,47,82
A. Sánchez,30,Chile,Manchester United,82,82,21000000,3,4,SUB,81,78,77,85,44,73
Giuliano,29,Brazil,Al Nassr,82,82,21500000,3,4,CAM,81,77,79,83,46,75
A. Kolarov,33,Serbia,Roma,82,82,10000000,3,3,LB,69,74,81,76,82,79
M. Balotelli,28,Italy,Brescia,82,82,23000000,4,4,RS,76,82,73,79,24,76
Marlos,31,Ukraine,Shakhtar Donetsk,82,82,19500000,3,5,RAM,83,78,79,86,46,73
Taison,31,Brazil,Shakhtar Donetsk,82,82,19500000,3,4,LAM,92,79,75,86,47,69
B. Dost,30,Netherlands,Sporting CP,82,82,21500000,3,2,SUB,50,82,57,66,45,80
G. Bonaventura,29,Italy,Milan,82,82,21500000,3,4,SUB,73,77,82,82,72,69
Pedro,31,Spain,Chelsea,82,82,19500000,5,4,RW,75,77,77,84,43,56
L. de Jong,28,Netherlands,Sevilla FC,82,82,23000000,3,2,ST,56,79,71,69,51,78
S. El Shaarawy,26,Italy,Shanghai Greenland Shenhua FC,82,82,24000000,3,5,LW,87,78,71,84,42,60
Ander Herrera,29,Spain,Paris Saint-Germain,82,82,21500000,4,3,LCM,70,72,78,80,82,77
X. Shaqiri,27,Switzerland,Liverpool,82,82,23000000,4,5,SUB,80,77,81,85,46,69
Mário Fernandes,28,Russia,PFC CSKA Moscow,82,82,19000000,3,3,RM,82,60,74,79,81,79
S. Coates,28,Uruguay,Sporting CP,82,82,19500000,3,2,RCB,54,43,55,59,83,85
C. Bakambu,28,DR Congo,Beijing Sinobo Guoan FC,82,82,23000000,4,3,RS,90,81,72,80,35,76
T. Meunier,27,Belgium,Paris Saint-Germain,82,82,20000000,4,3,SUB,79,75,77,75,78,84
K. Bellarabi,29,Germany,Bayer 04 Leverkusen,82,82,21500000,3,4,SUB,92,76,74,85,34,71
J. Lingard,26,England,Manchester United,82,82,24000000,3,4,CAM,80,78,76,83,58,72
Q. Promes,27,Netherlands,Ajax,82,82,23000000,4,5,SUB,91,79,79,83,40,67
J. Vardy,32,England,Leicester City,82,82,17500000,3,3,ST,88,81,65,74,55,75
D. Zapata,28,Colombia,Atalanta,82,82,23000000,4,3,LS,71,81,56,76,37,83
Morales,31,Spain,Levante UD,82,82,20000000,4,4,LW,89,81,76,85,58,69
Juiano Mestres,35,Brazil,Cruzeiro,82,82,6500000,3,2,RCB,71,61,57,62,82,80
Rosberto Dourado,31,Brazil,Atlético Mineiro,82,82,17000000,4,2,RDM,81,57,74,77,82,74
E. Schetino,27,Uruguay,Uruguay,82,82,0,3,2,,80,43,56,65,83,76
J. Sildero,27,Uruguay,Uruguay,82,82,0,4,4,,81,77,81,82,40,71
